model_name,d_in,d_out,prec,model_file
dense_4_20_16b,4,20,16,pregen_latency_models/dense_4_20_16b.h5
dense_4_22_2b,4,22,2,pregen_latency_models/dense_4_22_2b.h5
dense_4_22_4b,4,22,4,pregen_latency_models/dense_4_22_4b.h5
dense_4_22_6b,4,22,6,pregen_latency_models/dense_4_22_6b.h5
dense_4_22_8b,4,22,8,pregen_latency_models/dense_4_22_8b.h5
dense_4_22_10b,4,22,10,pregen_latency_models/dense_4_22_10b.h5
dense_4_22_12b,4,22,12,pregen_latency_models/dense_4_22_12b.h5
dense_4_22_14b,4,22,14,pregen_latency_models/dense_4_22_14b.h5
dense_4_22_16b,4,22,16,pregen_latency_models/dense_4_22_16b.h5
dense_4_24_2b,4,24,2,pregen_latency_models/dense_4_24_2b.h5
dense_4_24_4b,4,24,4,pregen_latency_models/dense_4_24_4b.h5
dense_4_24_6b,4,24,6,pregen_latency_models/dense_4_24_6b.h5
dense_4_24_8b,4,24,8,pregen_latency_models/dense_4_24_8b.h5
dense_4_24_10b,4,24,10,pregen_latency_models/dense_4_24_10b.h5
dense_4_24_12b,4,24,12,pregen_latency_models/dense_4_24_12b.h5
dense_4_24_14b,4,24,14,pregen_latency_models/dense_4_24_14b.h5
dense_4_24_16b,4,24,16,pregen_latency_models/dense_4_24_16b.h5
dense_4_26_2b,4,26,2,pregen_latency_models/dense_4_26_2b.h5
dense_4_26_4b,4,26,4,pregen_latency_models/dense_4_26_4b.h5
dense_4_26_6b,4,26,6,pregen_latency_models/dense_4_26_6b.h5
dense_4_26_8b,4,26,8,pregen_latency_models/dense_4_26_8b.h5
dense_4_26_10b,4,26,10,pregen_latency_models/dense_4_26_10b.h5
dense_4_26_12b,4,26,12,pregen_latency_models/dense_4_26_12b.h5
dense_4_26_14b,4,26,14,pregen_latency_models/dense_4_26_14b.h5
dense_4_26_16b,4,26,16,pregen_latency_models/dense_4_26_16b.h5
dense_4_28_2b,4,28,2,pregen_latency_models/dense_4_28_2b.h5
dense_4_28_4b,4,28,4,pregen_latency_models/dense_4_28_4b.h5
dense_4_28_6b,4,28,6,pregen_latency_models/dense_4_28_6b.h5
dense_4_28_8b,4,28,8,pregen_latency_models/dense_4_28_8b.h5
